protocol,method,alpha,rep,clean_mse,clean_mse_user_mean,clean_mse_user_std,clean_mse_user_worst,clean_mae,clean_mae_user_mean,clean_mae_user_std,clean_mae_user_worst,clean_mape,clean_mape_user_mean,clean_mape_user_std,clean_mape_user_worst,clean_unscaled_mae,clean_unscaled_mae_user_mean,clean_unscaled_mae_user_std,clean_unscaled_mae_user_worst,clean_rmse,n_users_eval,old_last_mse,old_best_mse,old_last_mae,old_best_mae,old_rounds
client_local,centralized,0.01,0,0.1577861458063125,0.1577861458063125,0.0,0.1577861458063125,0.3768859207630157,0.3768859207630157,0.0,0.3768859207630157,0.2781701683998108,0.2781701683998108,0.0,0.2781701683998108,65.36389923095703,65.36389923095703,0.0,65.36389923095703,0.397223042894433,1,0.0321753188967704,0.0307834513485431,0.0722253330051898,0.0703982837498188,196
client_local,centralized,0.1,0,0.0321835316717624,0.0321835316717624,0.0,0.0321835316717624,0.0702578797936439,0.0702578797936439,0.0,0.0702578797936439,0.0514095313847065,0.0514095313847065,0.0,0.0514095313847065,43.22270584106445,43.22270584106445,0.0,43.22270584106445,0.1793976913780176,1,0.0340107719724377,0.0329747134819626,0.0746518944700559,0.0733534780641396,162
client_local,centralized,0.5,0,0.0332922898232936,0.0332922898232936,0.0,0.0332922898232936,0.0723956003785133,0.0723956003785133,0.0,0.0723956003785133,0.0533991605043411,0.0533991605043411,0.0,0.0533991605043411,42.31292343139648,42.31292343139648,0.0,42.31292343139648,0.1824617489319163,1,0.0340955831731359,0.0325434521461526,0.0743636799355347,0.0733882822096347,158
client_local,centralized,1.0,0,0.0330123975872993,0.0330123975872993,0.0,0.0330123975872993,0.0725221931934356,0.0725221931934356,0.0,0.0725221931934356,0.0530199334025383,0.0530199334025383,0.0,0.0530199334025383,40.33182144165039,40.33182144165039,0.0,40.33182144165039,0.1816931412775379,1,0.0349267227575182,0.0321847898885607,0.0759235583245754,0.0723381713032722,100
client_local,centralized,10.0,0,0.0332792773842811,0.0332792773842811,0.0,0.0332792773842811,0.0774991363286972,0.0774991363286972,0.0,0.0774991363286972,0.0572906918823719,0.0572906918823719,0.0,0.0572906918823719,41.5250244140625,41.5250244140625,0.0,41.5250244140625,0.1824260874553888,1,0.0331107818832,0.032490657021602,0.0755418774982293,0.0730092401305834,100
client_local,centralized,5.0,0,0.0329396426677703,0.0329396426677703,0.0,0.0329396426677703,0.0769654735922813,0.0769654735922813,0.0,0.0769654735922813,0.0577044524252414,0.0577044524252414,0.0,0.0577044524252414,40.11053466796875,40.11053466796875,0.0,40.11053466796875,0.1814928171244536,1,0.0349248821536699,0.0324499138320485,0.0752635064224402,0.0730867783228556,100
client_local,fedavg,0.01,0,0.1564798649463564,0.1535227471962571,0.0570913060578655,0.2919186055660248,0.371176212847167,0.3661402530968189,0.0778481612884479,0.5358173847198486,0.2770584843959484,0.2736675418913364,0.0991769022141293,0.5326980352401733,65.36388202750406,56.95136507749557,85.7194993612307,418.6896057128906,0.3955753593771437,20,0.1711189717139697,0.1522925676298488,0.2836075185009285,0.2836075185009285,300
client_local,fedavg,0.01,123,0.1696705128833188,0.1672879141755402,0.1278092465243711,0.5107731223106384,0.2873616646253717,0.2837077625095844,0.158589796138509,0.7053288817405701,0.2572864461328802,0.2541806112974882,0.1676694522928115,0.703713059425354,65.11850002579172,56.72029024362564,85.62026157083613,418.089599609375,0.4119108069513579,20,0.1665201148205702,0.1517683350066587,0.2809586401502554,0.2809586401502554,300
client_local,fedavg,0.01,42,0.1671128520105948,0.1647801851853728,0.125799117169616,0.5027621388435364,0.2855240624337802,0.2818781681358814,0.1572198414897433,0.6997544169425964,0.2554916766909751,0.2524043943732977,0.1662881602949798,0.6981523633003235,65.10982356032177,56.71172381639481,85.61725413386411,418.0679321289063,0.4087943884284553,20,0.1641339199641315,0.152324733895374,0.2792916510605377,0.2792916510605377,300
client_local,fedavg,0.1,0,0.2213301381331566,0.1657603986561298,0.1377907089193591,0.5228819847106934,0.3458633326486388,0.2802430033683777,0.1663251868477127,0.7099130749702454,0.3198516953166327,0.2488912180066108,0.176941953306503,0.707760751247406,57.34299709950954,69.37056653499603,80.22934337427145,281.10015869140625,0.4704573712177934,20,0.2166422612847393,0.1709747453587728,0.3383826757771451,0.3383826757771451,300
