optimizer,method,sharing,alpha,mae,mae_std,weighted,macro,median,l5,s5,comm_mb
sgd,fedavg,full,0.01,0.3146873133021063,0.048929449458507156,0.31468731330210636,0.31057539458076155,0.34705671668052673,0.28470940838257475,0.35908628503481543,43597.200000000004
sgd,fedavg,full,0.1,0.3431060163815323,0.0025921619543493395,0.34310601638153226,0.2783637346078952,0.210903895397981,0.4162344321608543,0.3147959510485331,43597.200000000004
sgd,fedavg,full,0.5,0.3463968017161388,0.0022175663172709415,0.3463968017161389,0.324832396954298,0.31557460625966394,0.42251527706782016,0.27329819003740946,43597.200000000004
sgd,fedavg,full,1.0,0.345978232690461,0.002347071093160538,0.3459782326904611,0.3327792786061764,0.2845476120710373,0.4144441644350688,0.21718403895696006,43597.200000000004
sgd,fedavg,full,5.0,0.3472243618381914,0.002071330226356085,0.3472243618381915,0.3404453019301097,0.34450286626815796,0.42681680520375576,0.26507233977317807,43597.200000000004
sgd,fedavg,full,10.0,0.34762575005655055,0.0020399324766452558,0.34762575005655066,0.34400961274902025,0.3400489787260691,0.3717304388682047,0.29795797367890675,43597.200000000004
sgd,fedavg-partial,partial,0.01,0.0955912387602253,0.0,0.09559123876022531,0.19950564727187156,0.17769916355609894,0.04959781169891357,0.3314875066280365,1.512
sgd,fedavg-partial,partial,0.1,0.1481417567320507,0.0,0.14814175673205077,0.18018703144043685,0.1596170961856842,0.14288286343216897,0.2674638360738754,1.512
sgd,fedavg-partial,partial,0.5,0.2647691551912864,0.0,0.2647691551912865,0.26517875455319884,0.2719857394695282,0.2460234746336937,0.2634611427783966,1.512
sgd,fedavg-partial,partial,1.0,0.2245623665373849,0.0,0.22456236653738498,0.22766176536679267,0.2180069237947464,0.1673749268054962,0.198968505859375,1.512
sgd,fedavg-partial,partial,5.0,0.3306761356559042,0.0,0.3306761356559042,0.32528333738446236,0.3415032625198364,0.38406609296798705,0.2624312162399292,1.512
sgd,fedavg-partial,partial,10.0,0.3397841624840562,0.0,0.3397841624840562,0.336610721796751,0.34120984375476837,0.3646247148513794,0.29686563909053804,1.512
sgd,fedgen,full,0.01,0.13950291529632697,0.006936277487227665,0.13950291529632705,0.1363631969938675,0.14036867767572403,0.1370127171278,0.14688706398010254,44180.4
sgd,fedgen,full,0.1,0.10676937374086874,0.001969670776595821,0.10676937374086876,0.10454913675785064,0.10406145577629408,0.11132932305335999,0.11928190688292184,44180.4
sgd,fedgen,full,0.5,0.09670643612585346,0.002525049076150473,0.09670643612585353,0.09603586457669736,0.09691441555817923,0.10171397924423217,0.09610299567381542,44180.4
sgd,fedgen,full,1.0,0.09409849448602965,0.002487873586888626,0.09409849448602971,0.09416828937828542,0.09623047336935997,0.09184419413407643,0.09222894857327144,44180.4
sgd,fedgen,full,5.0,0.0977371030460778,0.0045702571855609775,0.09773710304607784,0.09773729257285595,0.09876698876420656,0.09941990077495574,0.09943456848462423,44180.4
sgd,fedgen,full,10.0,0.0949575330871129,0.0004392647095345295,0.09495753308711292,0.09482952766120434,0.0954117514193058,0.09161184032758077,0.09006591240564983,44180.4
sgd,fedgen-partial,partial,0.01,0.07480241902428952,0.00038539843599980344,0.07480241902428961,0.10780939124524594,0.11902490754922232,0.04985739241043726,0.13232823659976323,584.712
sgd,fedgen-partial,partial,0.1,0.1061565850932023,0.004704528174330509,0.10615658509320236,0.12278162154058617,0.13198853159944218,0.08569482713937758,0.14326468805472056,584.712
sgd,fedgen-partial,partial,0.5,0.10978242656081445,0.0039137921983013165,0.10978242656081454,0.11115055792033672,0.11189202095071474,0.11170036097367604,0.11353465815385184,584.712
sgd,fedgen-partial,partial,1.0,0.1212903867408429,0.0018588389891331122,0.12129038674084293,0.12164656917254128,0.11788893366853395,0.10790735234816869,0.12358105927705762,584.712
sgd,fedgen-partial,partial,5.0,0.09976721181585163,0.004643768930960481,0.09976721181585169,0.10034987789889176,0.100810956209898,0.09584684322277706,0.10814356803894043,584.712
sgd,fedgen-partial,partial,10.0,0.096421534158128,0.0006946752908603005,0.09642153415812806,0.09655334390699863,0.09613329917192459,0.09116406589746476,0.09515409270922343,584.712
adam,fedavg-adam,full,0.01,0.2405472621575494,0.07628091283585721,,,,,,43597.200000000004
adam,fedavg-adam,full,0.1,0.11693399133333375,0.002158008364228479,,,,,,43597.200000000004
adam,fedavg-adam,full,0.5,0.0815749649782653,0.001813624342407877,,,,,,43597.200000000004
adam,fedavg-adam,full,1.0,0.08159970340869804,0.0014154778681773044,,,,,,43597.200000000004
adam,fedavg-adam,full,5.0,0.07711294132125295,0.0009145325441516984,,,,,,43597.200000000004
adam,fedavg-adam,full,10.0,0.0754174094542157,0.000859504845560326,,,,,,43597.200000000004
adam,fedgen-adam,full,0.01,0.2961045097802386,0.0005565067072443401,,,,,,44180.4
adam,fedgen-adam,full,0.1,0.22411855485949944,0.1641226615428865,,,,,,44180.4
adam,fedgen-adam,full,0.5,0.07201677180165114,8.86149063012838e-05,,,,,,44180.4
adam,fedgen-adam,full,1.0,0.07062027068912441,0.002528920059310159,,,,,,44180.4
adam,fedgen-adam,full,5.0,0.06730785722293635,0.0011293223962257222,,,,,,44180.4
adam,fedgen-adam,full,10.0,0.0672674397408965,9.883221986817639e-05,,,,,,44180.4
none,centralized,none,0.01,0.074,0.003,,,,,,
none,centralized,none,0.1,0.074,0.003,,,,,,
none,centralized,none,0.5,0.074,0.003,,,,,,
none,centralized,none,1.0,0.074,0.003,,,,,,
none,centralized,none,5.0,0.074,0.003,,,,,,
none,centralized,none,10.0,0.074,0.003,,,,,,
