data_case,variant,sharing,alpha,n_seeds,test_auc_mean,test_auc_std,client_sigma,rounds,final_mb,final_mb_saved,perclient_wmean,perclient_mean,perclient_std,perclient_worst_mean,valsel_pooled_mean,artifact
filtered,fedgen_partial,partial,10.0,3,0.5958,0.0104,0.0214,6.3,0.717,0.655,0.5785,0.5777,0.0024,0.5413,0.6248,False
filtered,fedgen_partial_medoid,partial,0.1,3,0.6702,0.032,0.0354,11.7,1.32,1.206,0.5904,0.5724,0.0014,0.5152,0.714,False
filtered,fedgen_partial_medoid,partial,0.5,3,0.606,0.0009,0.0239,7.7,0.867,0.793,0.5823,0.571,0.0033,0.5471,0.6485,False
filtered,fedgen_partial_medoid,partial,1.0,3,0.5786,0.0224,0.0257,17.0,1.923,1.757,0.5693,0.5568,0.0097,0.5308,0.6545,False
filtered,fedgen_partial_medoid,partial,5.0,3,0.6043,0.0144,0.0192,13.0,1.471,1.344,0.5705,0.5729,0.0033,0.5483,0.6451,False
filtered,fedgen_partial_medoid,partial,10.0,3,0.6001,0.0057,0.0248,6.7,0.754,0.689,0.5815,0.5803,0.0043,0.5414,0.6249,False
filtered,fedgen_zhu,partial,0.1,3,0.6581,0.0154,0.0341,14.0,1.584,1.447,0.5969,0.5789,0.0077,0.5333,0.6931,False
filtered,fedgen_zhu,partial,0.5,3,0.6248,0.0086,0.0249,6.7,0.754,0.689,0.5891,0.5827,0.0034,0.552,0.6312,False
filtered,fedgen_zhu,partial,1.0,3,0.6345,0.0155,0.0208,17.3,1.961,1.792,0.5777,0.5643,0.0011,0.5433,0.6573,False
filtered,fedgen_zhu,partial,5.0,3,0.6306,0.0226,0.0214,8.7,0.981,0.896,0.583,0.5833,0.0003,0.5534,0.6507,False
filtered,fedgen_zhu,partial,10.0,3,0.6084,0.012,0.0224,8.0,0.905,0.827,0.5826,0.5818,0.0054,0.5469,0.626,False
filtered,fedgen_zhu_code_full,full,0.1,3,0.5864,0.0027,0.0752,16.3,137.029,137.029,0.6224,0.5728,0.0012,0.4869,0.5864,False
filtered,fedgen_zhu_code_full,full,0.5,3,0.6453,0.0007,0.0423,7.7,64.32,64.32,0.6587,0.6602,0.0017,0.609,0.6453,False
