data_case,variant,sharing,alpha,n_seeds,test_auc_mean,test_auc_std,client_sigma,rounds,final_mb,final_mb_saved,perclient_wmean,perclient_mean,perclient_std,perclient_worst_mean,valsel_pooled_mean,artifact
unfiltered,fedgen_partial_medoid,partial,5.0,3,0.6043,0.0144,0.0192,13.0,1.471,1.344,0.5705,0.5729,0.0033,0.5483,0.6451,False
unfiltered,fedgen_partial_medoid,partial,10.0,3,0.6001,0.0057,0.0248,6.7,0.754,0.689,0.5815,0.5803,0.0043,0.5414,0.6249,False
unfiltered,fedgen_zhu,partial,0.5,3,0.6935,0.0761,0.0762,12.3,1.395,1.275,0.5289,0.556,0.0162,0.4339,0.8096,False
unfiltered,fedgen_zhu,partial,1.0,3,0.7307,0.0313,0.1636,15.3,1.735,1.585,0.4852,0.5178,0.0486,0.2554,0.7377,False
unfiltered,fedgen_zhu,partial,5.0,3,0.6306,0.0226,0.0214,8.7,0.981,0.896,0.583,0.5833,0.0003,0.5534,0.6507,False
unfiltered,fedgen_zhu,partial,10.0,3,0.6084,0.012,0.0224,8.0,0.905,0.827,0.5826,0.5818,0.0054,0.5469,0.626,False
unfiltered,fedgen_zhu_code_full,full,0.5,3,0.5863,0.0012,0.0646,8.7,72.709,72.709,0.6375,0.6098,0.0031,0.4888,0.5863,False
unfiltered,fedgen_zhu_code_full,full,1.0,3,0.6082,0.002,0.1198,9.7,81.099,81.099,0.7026,0.6511,0.0129,0.4809,0.6082,False
unfiltered,fedgen_zhu_code_full,full,5.0,3,0.6404,0.001,0.0332,9.3,78.302,78.302,0.6586,0.6611,0.0015,0.5983,0.6404,False
unfiltered,fedgen_zhu_code_full,full,10.0,3,0.6483,0.0015,0.0248,9.0,75.506,75.506,0.6553,0.6525,0.0012,0.6179,0.6483,False
unfiltered,fedgen_zhu_code_full_medoid,full,0.5,3,0.5859,0.0024,0.0631,7.3,61.595,61.523,0.635,0.6097,0.0016,0.4892,0.5859,False
unfiltered,fedgen_zhu_code_full_medoid,full,1.0,3,0.6085,0.0017,0.149,10.3,86.793,86.692,0.7313,0.6687,0.0095,0.4834,0.6085,False
unfiltered,fedgen_zhu_code_full_medoid,full,5.0,3,0.6401,0.0004,0.0324,11.0,92.392,92.285,0.6578,0.6603,0.001,0.5996,0.6401,False
unfiltered,fedgen_zhu_code_full_medoid,full,10.0,3,0.6486,0.0009,0.0236,10.3,86.793,86.692,0.6548,0.652,0.0005,0.6196,0.6486,False
unfiltered,fedgen_zhu_code_partial,partial,0.5,3,0.7778,0.0165,0.0688,11.0,1.138,1.138,0.5448,0.5648,0.0229,0.4553,0.8058,False
unfiltered,fedgen_zhu_code_partial,partial,1.0,3,0.7432,0.0012,0.1237,13.3,1.379,1.379,0.5031,0.5291,0.0296,0.3211,0.7646,False
unfiltered,fedgen_zhu_code_partial,partial,5.0,3,0.6319,0.0221,0.0216,10.0,1.034,1.034,0.583,0.5831,0.0077,0.5536,0.6462,False
unfiltered,fedgen_zhu_code_partial,partial,10.0,3,0.5956,0.0074,0.0207,7.0,0.724,0.724,0.5783,0.5785,0.0029,0.5429,0.6315,False
unfiltered,fedgen_zhu_code_partial_medoid,partial,0.5,3,0.791,0.0086,0.0806,9.7,1.094,1.0,0.5298,0.5551,0.02,0.4325,0.8042,False
unfiltered,fedgen_zhu_code_partial_medoid,partial,1.0,3,0.7464,0.0062,0.0388,11.7,1.32,1.207,0.5815,0.5776,0.0116,0.5242,0.7582,False
unfiltered,fedgen_zhu_code_partial_medoid,partial,5.0,3,0.6038,0.0189,0.0189,12.3,1.396,1.275,0.5851,0.5834,0.0054,0.5592,0.6507,False
unfiltered,fedgen_zhu_code_partial_medoid,partial,10.0,3,0.5948,0.0029,0.0271,7.7,0.868,0.793,0.5726,0.5736,0.0087,0.5302,0.6275,False
unfiltered,fedgen_zhu_full,full,0.5,3,0.5851,0.003,0.065,7.0,58.795,58.727,0.6307,0.6041,0.0083,0.4836,0.5851,False
unfiltered,fedgen_zhu_full,full,1.0,3,0.6061,0.0045,0.1411,14.7,123.189,123.046,0.7237,0.6636,0.0116,0.4878,0.6061,False
unfiltered,fedgen_zhu_full,full,5.0,3,0.6396,0.001,0.0319,11.0,92.392,92.285,0.6572,0.6591,0.0011,0.5996,0.6396,False
unfiltered,fedgen_zhu_full,full,10.0,3,0.6492,0.0004,0.0252,10.3,86.793,86.692,0.656,0.653,0.0001,0.6185,0.6492,False
unfiltered,fedgen_zhu_full_medoid,full,0.5,3,0.5825,0.002,0.0625,6.0,50.396,50.337,0.6254,0.5992,0.0026,0.4794,0.5825,False
unfiltered,fedgen_zhu_full_medoid,full,1.0,3,0.6063,0.0024,0.125,11.3,95.192,95.081,0.7042,0.6507,0.0129,0.4806,0.6063,False
unfiltered,fedgen_zhu_full_medoid,full,5.0,3,0.6409,0.0006,0.033,10.3,86.793,86.692,0.6586,0.6603,0.0006,0.598,0.6409,False
unfiltered,fedgen_zhu_full_medoid,full,10.0,3,0.649,0.0004,0.0248,8.7,72.794,72.709,0.6558,0.6529,0.0004,0.6183,0.649,False
unfiltered,fedgen_zhu_full_no_proto,full,0.5,3,0.5825,0.002,0.0625,6.0,50.337,50.337,0.6254,0.5992,0.0026,0.4794,0.5825,False
unfiltered,fedgen_zhu_full_no_proto,full,1.0,3,0.6071,0.0007,0.1179,9.7,81.099,81.099,0.7002,0.6483,0.0073,0.4763,0.6071,False
unfiltered,fedgen_zhu_full_no_proto,full,5.0,3,0.6399,0.0014,0.0325,9.7,81.099,81.099,0.6576,0.6594,0.0014,0.597,0.6399,False
unfiltered,fedgen_zhu_full_no_proto,full,10.0,3,0.6493,0.0013,0.0248,9.3,78.302,78.302,0.6558,0.6527,0.0008,0.6193,0.6493,False
unfiltered,fedgen_zhu_medoid,partial,0.5,3,0.693,0.1092,0.0585,11.7,1.32,1.206,0.5406,0.561,0.0082,0.4695,0.8046,False
unfiltered,fedgen_zhu_medoid,partial,1.0,3,0.6966,0.0717,0.1838,11.7,1.32,1.206,0.4617,0.5034,0.0398,0.198,0.7108,False
unfiltered,fedgen_zhu_medoid,partial,5.0,3,0.6401,0.0136,0.0187,7.3,0.83,0.758,0.5894,0.5888,0.005,0.5611,0.6529,False
unfiltered,fedgen_zhu_medoid,partial,10.0,3,0.6112,0.0128,0.0226,9.3,1.056,0.965,0.5818,0.5819,0.0017,0.5407,0.6237,False
unfiltered,fedgen_zhu_no_proto,partial,0.5,3,0.7196,0.0419,0.053,10.7,1.103,1.103,0.5721,0.5819,0.0104,0.5129,0.796,False
unfiltered,fedgen_zhu_no_proto,partial,1.0,3,0.5824,0.1073,0.172,8.7,0.896,0.896,0.5476,0.5565,0.0674,0.322,0.6997,False
unfiltered,fedgen_zhu_no_proto,partial,5.0,3,0.6489,0.004,0.0203,10.7,1.103,1.103,0.5842,0.5852,0.002,0.5547,0.6519,False
unfiltered,fedgen_zhu_no_proto,partial,10.0,3,0.5961,0.0325,0.0248,10.0,1.034,1.034,0.5861,0.5852,0.003,0.5432,0.6234,False
unfiltered,fedgen_zhu_pyhat,partial,0.5,3,0.735,0.0488,0.063,14.0,1.585,1.448,0.5428,0.5624,0.0083,0.4754,0.8039,False
unfiltered,fedgen_zhu_pyhat,partial,1.0,3,0.746,0.0081,0.045,16.7,1.886,1.724,0.5901,0.5842,0.015,0.5279,0.7572,False
unfiltered,fedgen_zhu_pyhat,partial,5.0,3,0.6338,0.0133,0.0209,11.3,1.283,1.172,0.5852,0.5857,0.0076,0.5605,0.6493,False
unfiltered,fedgen_zhu_pyhat,partial,10.0,3,0.6227,0.0113,0.0193,9.3,1.056,0.965,0.5813,0.5809,0.0046,0.5516,0.6254,False
unfiltered,fedgen_zhu_pyhat_full,full,0.5,3,0.5842,0.0011,0.0693,8.3,69.994,69.913,0.6417,0.611,0.0027,0.4854,0.5842,False
unfiltered,fedgen_zhu_pyhat_full,full,1.0,3,0.6083,0.0011,0.1505,10.7,89.593,89.489,0.7302,0.6683,0.0163,0.4836,0.6083,False
unfiltered,fedgen_zhu_pyhat_full,full,5.0,3,0.6398,0.0012,0.0318,11.0,92.392,92.285,0.6576,0.6589,0.0017,0.5982,0.6398,False
unfiltered,fedgen_zhu_pyhat_full,full,10.0,3,0.6492,0.0007,0.0258,7.3,61.595,61.523,0.6564,0.6534,0.0004,0.6173,0.6492,False
unfiltered,fedgen_zhu_pyhat_full_medoid,full,0.5,3,0.5862,0.0029,0.0666,8.0,67.195,67.116,0.6351,0.6062,0.005,0.4823,0.5862,False
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,3,0.6093,0.0003,0.1477,11.3,95.192,95.082,0.7326,0.6702,0.0011,0.4841,0.6093,False
unfiltered,fedgen_zhu_pyhat_full_medoid,full,5.0,3,0.639,0.0008,0.0311,12.3,103.592,103.471,0.6564,0.658,0.0016,0.5997,0.639,False
unfiltered,fedgen_zhu_pyhat_full_medoid,full,10.0,3,0.6497,0.0009,0.0257,9.3,78.394,78.302,0.6566,0.6537,0.0007,0.6174,0.6497,False
unfiltered,fedgen_zhu_pyhat_medoid,partial,0.5,3,0.7422,0.0516,0.0654,8.7,0.981,0.896,0.5273,0.5518,0.0167,0.4479,0.7978,False
unfiltered,fedgen_zhu_pyhat_medoid,partial,1.0,3,0.6462,0.0281,0.139,8.0,0.905,0.827,0.5561,0.5616,0.0602,0.3905,0.7235,False
unfiltered,fedgen_zhu_pyhat_medoid,partial,5.0,3,0.6529,0.0039,0.0246,9.7,1.094,1.0,0.5863,0.5879,0.003,0.5572,0.6455,False
unfiltered,fedgen_zhu_pyhat_medoid,partial,10.0,3,0.6206,0.0229,0.0244,8.7,0.981,0.896,0.5821,0.5822,0.0049,0.5398,0.6229,False
