data_case,variant,sharing,alpha,seed,round,cum_mb,pooled_val,pooled_test
filtered,fedavg_full,full,0.1,seed_123,0,8.295974731445312,0.5867327783766157,0.5765702623692197
filtered,fedavg_full,full,0.1,seed_123,1,16.591949462890625,0.5912989066929955,0.5814902162058584
filtered,fedavg_full,full,0.1,seed_123,2,24.887924194335938,0.5938370093932009,0.5827154658205067
filtered,fedavg_full,full,0.1,seed_123,3,33.18389892578125,0.5950562233353562,0.5821257953892205
filtered,fedavg_full,full,0.1,seed_123,4,41.47987365722656,0.5969921829002074,0.5820319114172069
filtered,fedavg_full,full,0.1,seed_123,5,49.775848388671875,0.5970770749735053,0.5857200335563767
filtered,fedavg_full,full,0.1,seed_123,6,58.07182312011719,0.6048596454678031,0.5854002923006035
filtered,fedavg_full,full,0.1,seed_123,7,66.3677978515625,0.6046330854446145,0.5848080834304
filtered,fedavg_full,full,0.1,seed_123,8,74.66377258300781,0.604711673112981,0.5820464787400383
filtered,fedavg_full,full,0.1,seed_123,9,82.95974731445312,0.6071841955090174,0.5839437003331784
filtered,fedavg_full,full,0.1,seed_123,10,91.25572204589844,0.6097231315501046,0.5836209614234076
filtered,fedavg_full,full,0.1,seed_123,11,99.55169677734375,0.604219603438437,0.5822289912225884
filtered,fedavg_full,full,0.1,seed_123,12,107.84767150878906,0.6104717615195789,0.5714323599529856
filtered,fedavg_full,full,0.1,seed_123,13,116.14364624023438,0.6109566572160979,0.5715275322784195
filtered,fedavg_full,full,0.1,seed_123,14,124.43962097167969,0.6062772670042301,0.5730439752780031
filtered,fedavg_full,full,0.1,seed_123,15,132.735595703125,0.60575834926041,0.5690361501509835
filtered,fedavg_full,full,0.1,seed_123,16,141.0315704345703,0.6032103189340484,0.5770475654215024
filtered,fedavg_full,full,0.1,seed_123,17,149.32754516601562,0.5969736682397486,0.5709230649167613
filtered,fedavg_full,full,0.1,seed_123,18,157.62351989746094,0.6019499814309912,0.5750601080650439
filtered,fedavg_partial,partial,0.1,seed_123,0,0.0098419189453125,0.5851159521372478,0.5728426477331269
filtered,fedavg_partial,partial,0.1,seed_123,1,0.019683837890625,0.6355605757298526,0.6244051538320772
filtered,fedavg_partial,partial,0.1,seed_123,2,0.0295257568359375,0.6836774970787778,0.6733521749280863
filtered,fedavg_partial,partial,0.1,seed_123,3,0.03936767578125,0.6988847362747851,0.6941834848449712
